epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,6670.9,0.50539,0.27164,0.88869,0.99131,1,0.99396,0.87337,0.55815,0.24124,0.90037,0.000406234,0.000406234,0.000406234
45,6823.57,0.50295,0.26544,0.88871,0.99161,1,0.99475,0.89099,0.50046,0.22389,0.879,0.000402138,0.000402138,0.000402138
46,6976.35,0.51857,0.26811,0.89695,0.99552,1,0.99496,0.88255,0.50356,0.22499,0.87534,0.000397977,0.000397977,0.000397977
47,7129.77,0.50783,0.26722,0.89278,0.99918,1,0.995,0.88815,0.49582,0.22015,0.87217,0.000393752,0.000393752,0.000393752
48,7283.69,0.49101,0.26306,0.88851,0.99847,1,0.995,0.86403,0.57216,0.23914,0.89905,0.000389464,0.000389464,0.000389464
49,7436.8,0.49142,0.2586,0.89298,0.99437,1,0.9945,0.89832,0.48443,0.2219,0.8678,0.000385117,0.000385117,0.000385117
50,7591.54,0.49454,0.25993,0.88789,0.997,1,0.995,0.87664,0.54211,0.24184,0.8904,0.000380712,0.000380712,0.000380712
51,7742.73,0.49402,0.26098,0.88492,0.99824,1,0.995,0.89423,0.47314,0.22103,0.86184,0.00037625,0.00037625,0.00037625
52,7893.69,0.49008,0.25643,0.88805,0.99231,1,0.99458,0.89295,0.49474,0.2233,0.87011,0.000371734,0.000371734,0.000371734
53,8044.34,0.48153,0.24886,0.88772,0.99549,1,0.995,0.89843,0.46442,0.22152,0.86133,0.000367166,0.000367166,0.000367166
54,8195.72,0.48871,0.25578,0.89032,0.99106,1,0.99496,0.89777,0.48416,0.2258,0.86712,0.000362547,0.000362547,0.000362547
55,8347.42,0.49094,0.25497,0.88495,0.99559,1,0.995,0.89897,0.47775,0.20719,0.86456,0.00035788,0.00035788,0.00035788
56,8498.96,0.49317,0.25613,0.88883,0.99137,1,0.99487,0.88929,0.49388,0.21829,0.87035,0.000353167,0.000353167,0.000353167
57,8650.2,0.49537,0.25631,0.88847,0.99156,1,0.99483,0.90358,0.46678,0.2096,0.86389,0.00034841,0.00034841,0.00034841
58,8801.69,0.48035,0.24882,0.88351,0.99877,1,0.995,0.88282,0.50407,0.21549,0.87608,0.000343611,0.000343611,0.000343611
59,8953.07,0.47427,0.24898,0.88094,0.9997,1,0.995,0.88285,0.51257,0.21793,0.87826,0.000338772,0.000338772,0.000338772
60,9104.25,0.49368,0.25997,0.8855,0.99883,1,0.995,0.8773,0.52252,0.21185,0.87959,0.000333894,0.000333894,0.000333894
61,9255.48,0.47836,0.25022,0.88397,0.99873,1,0.995,0.90248,0.47724,0.20658,0.86402,0.000328982,0.000328982,0.000328982
62,9406.75,0.47347,0.24729,0.88041,0.99542,1,0.99471,0.88699,0.50392,0.21882,0.87219,0.000324035,0.000324035,0.000324035
63,9558.06,0.46909,0.2444,0.87698,0.99438,1,0.99458,0.88547,0.49871,0.2242,0.87527,0.000319058,0.000319058,0.000319058
64,9709.36,0.47148,0.24,0.87771,0.99336,1,0.99496,0.89962,0.46695,0.20044,0.86308,0.000314051,0.000314051,0.000314051
65,9860.44,0.46884,0.24071,0.87695,0.99881,1,0.995,0.88651,0.47968,0.21458,0.86762,0.000309017,0.000309017,0.000309017
66,10010.9,0.47637,0.24646,0.88116,0.9947,1,0.995,0.89132,0.48346,0.20725,0.86805,0.000303958,0.000303958,0.000303958
67,10161.9,0.46678,0.24223,0.87464,0.99474,1,0.9945,0.89923,0.46896,0.20834,0.86544,0.000298877,0.000298877,0.000298877
68,10313.3,0.48721,0.25164,0.89012,0.99125,1,0.99458,0.88874,0.48008,0.21373,0.87036,0.000293775,0.000293775,0.000293775
69,10464.7,0.45661,0.23846,0.87342,0.99547,1,0.99483,0.89224,0.49451,0.20869,0.87367,0.000288656,0.000288656,0.000288656
70,10615.7,0.46134,0.23524,0.87314,0.99939,1,0.995,0.90065,0.47046,0.21009,0.86518,0.00028352,0.00028352,0.00028352
71,10765.9,0.45832,0.24092,0.87747,0.9987,1,0.995,0.88796,0.5047,0.24398,0.87527,0.000278371,0.000278371,0.000278371
72,10916.2,0.47154,0.24703,0.87769,0.99841,1,0.995,0.88675,0.50891,0.21616,0.8821,0.00027321,0.00027321,0.00027321
73,11066.5,0.4486,0.23463,0.8711,0.99617,1,0.995,0.90553,0.47332,0.21141,0.86448,0.000268041,0.000268041,0.000268041
74,11216.9,0.46434,0.24211,0.87884,0.99952,1,0.995,0.89174,0.48498,0.21406,0.86789,0.000262864,0.000262864,0.000262864
75,11367.2,0.45356,0.23632,0.88015,0.9955,1,0.99496,0.89138,0.47409,0.21487,0.86444,0.000257683,0.000257683,0.000257683
76,11517.5,0.45891,0.24803,0.87527,0.99973,1,0.995,0.88027,0.49497,0.21087,0.87207,0.0002525,0.0002525,0.0002525
77,11668,0.4607,0.23233,0.87758,0.9995,1,0.995,0.87852,0.52477,0.21145,0.88192,0.000247317,0.000247317,0.000247317
78,11818.3,0.44731,0.23,0.87292,0.9996,1,0.995,0.90502,0.45964,0.20054,0.85695,0.000242136,0.000242136,0.000242136
79,11968.9,0.45055,0.23515,0.87436,0.99967,1,0.995,0.89206,0.48545,0.20883,0.86856,0.000236959,0.000236959,0.000236959
80,12120,0.44156,0.23289,0.87257,0.99968,1,0.995,0.8869,0.49049,0.20279,0.87045,0.00023179,0.00023179,0.00023179
81,12270.8,0.43441,0.22766,0.87331,0.99909,1,0.995,0.88545,0.49251,0.20355,0.87116,0.000226629,0.000226629,0.000226629
82,12421.6,0.44159,0.22933,0.86846,0.99963,1,0.995,0.89374,0.49053,0.19759,0.86866,0.00022148,0.00022148,0.00022148
83,12573,0.45121,0.22991,0.86879,0.99918,1,0.995,0.89569,0.47643,0.20171,0.8654,0.000216344,0.000216344,0.000216344
84,12724.4,0.44108,0.2235,0.87152,0.9987,1,0.995,0.88566,0.49889,0.20194,0.87283,0.000211225,0.000211225,0.000211225
85,12875.5,0.43348,0.22342,0.86684,0.9996,1,0.995,0.88958,0.48426,0.19722,0.86722,0.000206123,0.000206123,0.000206123
86,13025.9,0.44314,0.22558,0.86685,0.99525,1,0.99479,0.89073,0.49315,0.20061,0.87226,0.000201042,0.000201042,0.000201042
87,13176.3,0.43703,0.22238,0.86684,0.99917,1,0.995,0.88031,0.51372,0.20206,0.88204,0.000195983,0.000195983,0.000195983
88,13326.7,0.44368,0.22501,0.86696,0.99939,1,0.995,0.88502,0.50288,0.2037,0.87718,0.000190949,0.000190949,0.000190949
89,13477,0.4356,0.2251,0.86523,0.99814,1,0.995,0.885,0.49094,0.19964,0.87311,0.000185942,0.000185942,0.000185942
90,13627.4,0.42806,0.21522,0.86148,0.99907,1,0.995,0.89401,0.49035,0.19899,0.87233,0.000180965,0.000180965,0.000180965
91,13777.7,0.4409,0.22011,0.87164,0.99868,1,0.995,0.90409,0.44704,0.18959,0.85581,0.000176018,0.000176018,0.000176018
92,13928.6,0.4199,0.21094,0.86426,0.99582,1,0.995,0.89875,0.46291,0.18702,0.86442,0.000171106,0.000171106,0.000171106
93,14079.2,0.42357,0.21147,0.86192,0.99973,1,0.995,0.89725,0.46366,0.1928,0.86236,0.000166228,0.000166228,0.000166228
94,14229.6,0.41593,0.21231,0.86319,0.9992,1,0.995,0.90072,0.47008,0.19253,0.86712,0.000161389,0.000161389,0.000161389
95,14380,0.4308,0.22047,0.86853,0.99939,1,0.995,0.89967,0.46703,0.19265,0.86522,0.00015659,0.00015659,0.00015659
96,14530.4,0.42487,0.21384,0.8675,0.99964,1,0.995,0.88892,0.48993,0.19429,0.86999,0.000151833,0.000151833,0.000151833
97,14680.8,0.42013,0.21476,0.86164,0.99958,1,0.995,0.89677,0.47265,0.19054,0.86569,0.00014712,0.00014712,0.00014712
98,14831.3,0.41199,0.20785,0.85828,0.99965,1,0.995,0.8956,0.46808,0.19011,0.86389,0.000142453,0.000142453,0.000142453
99,14981.7,0.42146,0.21305,0.86374,0.99964,1,0.995,0.89085,0.48474,0.19008,0.86815,0.000137834,0.000137834,0.000137834
100,15132.1,0.40985,0.20794,0.85803,0.99971,1,0.995,0.88646,0.49689,0.19495,0.87584,0.000133266,0.000133266,0.000133266
101,15282.4,0.40755,0.20183,0.85212,0.99959,1,0.995,0.88867,0.48775,0.18728,0.87289,0.00012875,0.00012875,0.00012875
102,15432.8,0.40796,0.20567,0.86245,0.99941,1,0.995,0.89299,0.47652,0.19265,0.86618,0.000124288,0.000124288,0.000124288
103,15583.2,0.41359,0.20655,0.86299,0.99955,1,0.995,0.88973,0.49723,0.1919,0.87586,0.000119883,0.000119883,0.000119883
104,15733.6,0.40575,0.20343,0.85508,0.99943,1,0.995,0.90123,0.46821,0.18135,0.86456,0.000115536,0.000115536,0.000115536
105,15884.1,0.40414,0.20493,0.8604,0.99947,1,0.995,0.88851,0.49188,0.18475,0.87559,0.000111248,0.000111248,0.000111248
106,16034.5,0.40613,0.20479,0.85931,0.9989,1,0.995,0.89472,0.48108,0.19073,0.87348,0.000107023,0.000107023,0.000107023
107,16185,0.41084,0.20614,0.86693,0.9996,1,0.995,0.89844,0.46994,0.18512,0.86856,0.000102862,0.000102862,0.000102862
