epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6527.03,0.5459,0.29657,0.9158,0.99533,1,0.9945,0.8586,0.56659,0.24999,0.90762,0.00896127,0.00896127,0.00896127
44,6678.83,0.55015,0.30144,0.91925,0.9905,1,0.99412,0.88056,0.5173,0.24258,0.89646,0.00891313,0.00891313,0.00891313
45,6830.53,0.53844,0.29125,0.91534,0.99548,1,0.99429,0.87083,0.5577,0.24979,0.89859,0.00886404,0.00886404,0.00886404
46,6982.11,0.54537,0.29342,0.91774,0.99522,1,0.995,0.88631,0.50653,0.23086,0.88114,0.00881401,0.00881401,0.00881401
47,7133.77,0.53272,0.29039,0.91218,0.99123,1,0.99408,0.88301,0.52415,0.23624,0.89588,0.00876305,0.00876305,0.00876305
48,7285.45,0.53197,0.29226,0.91674,0.99542,1,0.9945,0.87905,0.53294,0.23322,0.89022,0.00871117,0.00871117,0.00871117
49,7437.15,0.5334,0.28947,0.91025,0.99553,1,0.99467,0.88686,0.51178,0.23557,0.87891,0.00865839,0.00865839,0.00865839
50,7589.06,0.53276,0.28506,0.91238,0.99287,1,0.99412,0.89088,0.50632,0.2333,0.88811,0.00860473,0.00860473,0.00860473
51,7741.12,0.52056,0.28014,0.90228,0.99164,1,0.99437,0.88333,0.51773,0.23861,0.88794,0.00855018,0.00855018,0.00855018
52,7893.01,0.53983,0.29059,0.91417,0.99546,1,0.99471,0.88314,0.50756,0.22261,0.88292,0.00849477,0.00849477,0.00849477
53,8044.81,0.52508,0.28362,0.91072,0.99134,1,0.99388,0.88679,0.50337,0.23454,0.88112,0.00843851,0.00843851,0.00843851
54,8196.64,0.52383,0.2796,0.90562,0.99381,0.99582,0.99412,0.88229,0.51893,0.23583,0.88448,0.00838141,0.00838141,0.00838141
55,8348.56,0.51848,0.2787,0.90621,0.99511,1,0.99433,0.88932,0.49115,0.22352,0.878,0.00832349,0.00832349,0.00832349
56,8500.61,0.51646,0.27499,0.90504,0.99484,1,0.99458,0.88727,0.49671,0.22225,0.87233,0.00826477,0.00826477,0.00826477
57,8652.49,0.51383,0.27184,0.90448,0.99523,1,0.99462,0.87515,0.51789,0.23252,0.88204,0.00820525,0.00820525,0.00820525
58,8804.24,0.51843,0.27736,0.908,0.99446,1,0.9945,0.88867,0.50178,0.22857,0.87579,0.00814495,0.00814495,0.00814495
59,8956.18,0.51424,0.27794,0.90295,0.99539,1,0.99483,0.89636,0.48672,0.22313,0.87165,0.00808389,0.00808389,0.00808389
60,9107.89,0.52033,0.28162,0.90763,0.99386,1,0.99437,0.89409,0.48597,0.22976,0.86966,0.00802208,0.00802208,0.00802208
61,9259.59,0.5216,0.27847,0.90748,0.99134,1,0.99466,0.90105,0.47856,0.22734,0.87083,0.00795954,0.00795954,0.00795954
62,9411.58,0.51148,0.27227,0.90164,0.99526,1,0.99479,0.88347,0.51264,0.22046,0.87875,0.00789628,0.00789628,0.00789628
