epoch,train_loss,train_acc,val_loss,val_acc
1,3.1858795875456276,0.0,2.7057035794624915,0.0
2,1.9591567109270793,0.274390243902439,1.0664772803966815,1.4634146341463417
3,0.9235201536155329,2.408536585365854,0.8349983646319463,1.707317073170732
4,0.825366245246515,3.0792682926829267,0.8040665617355933,4.634146341463414
5,0.7893999535862992,3.6585365853658534,0.7688295061771686,1.707317073170732
6,0.747066963009718,4.573170731707317,0.735550575531446,3.414634146341464
7,0.7179291649562557,4.451219512195122,0.6997166528151586,5.609756097560976
8,0.6686557636028383,7.22560975609756,0.6527174768539575,9.268292682926829
9,0.621318204228471,8.99390243902439,0.6113226769062189,8.292682926829269
10,0.5919600797862541,10.396341463414634,0.5862672191399795,10.975609756097562
11,0.5591405471650566,12.682926829268293,0.549693723137562,13.170731707317074
12,0.5236411920407923,15.792682926829269,0.5113397343800619,19.26829268292683
13,0.4900926873451326,19.54268292682927,0.4779172746034769,19.26829268292683
14,0.4464015005565271,23.75,0.4391878006549982,23.902439024390244
15,0.40152268409729003,29.359756097560975,0.38832834936105287,33.65853658536586
16,0.3603673333074988,34.481707317073166,0.38586416783241123,35.36585365853659
17,0.32431559475456795,39.420731707317074,0.3254916954499025,41.46341463414634
18,0.2861357893885636,46.09756097560976,0.29119444008056933,43.90243902439025
19,0.2510441045208675,52.01219512195122,0.2718542625124638,51.463414634146346
20,0.21805713899978776,59.420731707317074,0.21398329534209692,61.951219512195124
21,0.18470540272026528,66.46341463414635,0.19924793363763735,64.14634146341463
22,0.1592517664156309,70.79268292682926,0.18241764003267655,65.85365853658537
23,0.13576484300741334,74.96951219512195,0.15339071891055658,72.6829268292683
24,0.120110863774288,78.8109756097561,0.15280762415092725,72.1951219512195
25,0.10037564130999693,82.71341463414635,0.12519978230389264,77.8048780487805
26,0.09272090165716845,83.10975609756098,0.11645466017608459,79.02439024390245
27,0.08798806920829343,84.51219512195122,0.11054857447743416,82.1951219512195
28,0.06770821041086825,88.35365853658537,0.10939537554692763,80.97560975609757
29,0.06294254551573497,89.32926829268293,0.09904345544055104,82.68292682926828
30,0.05876436821389489,89.8170731707317,0.088620089710905,84.6341463414634
31,0.04657709464975973,92.89634146341463,0.07939651794731617,86.09756097560975
32,0.0432974202649259,93.20121951219512,0.08164522076885287,86.58536585365853
33,0.035637470666409994,94.9390243902439,0.08621976293551807,86.34146341463415
34,0.0334663006613349,95.27439024390245,0.07863524860630815,88.53658536585365
35,0.032579560698259895,95.09146341463415,0.07813195868108708,86.58536585365853
36,0.03891128156697605,94.20731707317073,0.07833151297213939,87.07317073170732
37,0.02871508767782915,95.67073170731707,0.06404225757488838,89.26829268292683
38,0.0343622775498505,94.17682926829268,0.06315650173033086,88.78048780487805
39,0.023512383146075212,96.3719512195122,0.06528389729702702,89.26829268292683
40,0.01636185450933692,98.20121951219512,0.05797003238246991,90.2439024390244
41,0.010291373577514073,99.29878048780488,0.0476156776287378,91.46341463414635
42,0.0163182100457162,97.95731707317074,0.05484376311785756,89.51219512195122
43,0.018527945437150577,97.04268292682927,0.05755569304053027,88.78048780487805
44,0.019044434005485437,97.10365853658537,0.05871652345208881,89.26829268292683
45,0.024542503574545065,95.91463414634146,0.06452132302981156,89.26829268292683
46,0.02194172117927271,96.4329268292683,0.06293317224705018,89.75609756097562
47,0.017137228655515285,97.2560975609756,0.0679022102133156,90.2439024390244
48,0.014581924844987508,97.80487804878048,0.05328246055600735,92.4390243902439
49,0.012192605109885336,98.35365853658537,0.06379615291818762,90.97560975609757
50,0.01759340675752156,96.89024390243902,0.053137966261531874,91.95121951219512
51,0.011140591425753039,98.53658536585365,0.04163357614351508,94.39024390243902
52,0.009380238362951432,98.90243902439025,0.04758509079692885,93.17073170731707
53,0.012162631918767059,98.10975609756098,0.054961818476350836,91.70731707317074
54,0.018967010755455347,96.5548780487805,0.05252065724030567,91.70731707317074
55,0.013226362824349141,97.6219512195122,0.04420512132883932,92.92682926829269
56,0.007742825188537742,98.78048780487805,0.04687913421254892,93.90243902439023
57,0.008087646263288107,98.90243902439025,0.05661602554699549,91.21951219512195
58,0.007954039073140337,98.59756097560975,0.047661173287241794,94.39024390243902
59,0.006182611980986577,99.14634146341463,0.04189048945353044,93.41463414634147
60,0.0046248970340324064,99.32926829268293,0.044690905241832994,94.14634146341463
61,0.00969500514343608,98.41463414634146,0.10698799778205845,83.90243902439025
62,0.025490474147812987,95.33536585365854,0.07226483263254452,89.51219512195122
63,0.009746253594653908,98.44512195121952,0.047671447369234204,93.17073170731707
64,0.010109733910549704,98.47560975609755,0.045980856983358256,93.17073170731707
65,0.005834678880779482,99.1158536585366,0.04576798371719913,94.39024390243902
66,0.0030341983074322343,99.60365853658537,0.04163008831808558,94.39024390243902
67,0.010244578890014077,98.14024390243902,0.0489945131546567,93.65853658536587
68,0.014108566140540216,97.16463414634147,0.06747258929177545,92.19512195121952
69,0.008342092662266024,98.71951219512195,0.04904733561516668,93.90243902439023
70,0.006698783316433702,98.56707317073172,0.047433975083269894,93.17073170731707
71,0.004710642528356757,99.23780487804879,0.04647212972877941,94.8780487804878
72,0.014076773511961375,97.28658536585367,0.06750953431205395,87.5609756097561
73,0.0178269335523066,96.34146341463415,0.06865727845937587,88.53658536585365
74,0.008643160852399178,98.32317073170732,0.046494347380268246,93.17073170731707
75,0.00377834871008129,99.51219512195122,0.038894749006990775,94.39024390243902
76,0.0035671188390995487,99.45121951219512,0.039423375420693234,95.1219512195122
77,0.003451589857960665,99.35975609756098,0.049195903379698466,93.90243902439023
78,0.0038144625669413405,99.26829268292683,0.04431643012279752,94.8780487804878
79,0.007253286596557989,98.41463414634146,0.057607709107777245,92.6829268292683
80,0.010019714295830033,98.04878048780488,0.0912588022586603,86.82926829268293
