epoch,train_loss,val_loss,val_acc
1,,,0.0
2,,2.831634998321533,0.0
3,,2.478712797164917,0.0
4,,2.128541946411133,0.0
5,,2.1269991397857666,0.0
6,,2.054373264312744,0.0
7,,2.017160415649414,0.0
8,,2.1412417888641357,0.0
9,,1.9864503145217896,0.0
10,,1.9540904760360718,0.0
11,,1.975341796875,0.0
12,,1.94441819190979,0.0
13,,1.8285475969314575,0.0
14,,1.707240104675293,0.0
15,,1.5540995597839355,24.390244483947754
16,,1.3291552066802979,24.390244483947754
17,,1.0099947452545166,2.4390244483947754
18,,0.7266645431518555,20.487804412841797
19,,0.47379070520401,38.53658676147461
20,,0.3243911862373352,50.73170852661133
21,,0.21113960444927216,62.92683029174805
22,,0.18933099508285522,68.29268646240234
23,,0.13622212409973145,76.09756469726562
24,,0.13117754459381104,81.70731353759766
25,,0.09725424647331238,84.39024353027344
26,,0.10149354487657547,83.65853881835938
27,,0.09042282402515411,83.90243530273438
28,,0.09426034241914749,86.09756469726562
29,,0.07995395362377167,88.78048706054688
30,,0.07549561560153961,87.56097412109375
31,,0.07257075607776642,90.48780822753906
32,,0.059239812195301056,90.9756088256836
33,,0.09083402156829834,89.75609588623047
34,,0.06047159433364868,90.0
35,,0.058918844908475876,90.9756088256836
36,,0.06082474812865257,91.46341705322266
37,,0.07344748079776764,90.48780822753906
38,,0.05935751274228096,90.9756088256836
39,,0.0601675920188427,91.46341705322266
40,,0.06235237419605255,91.21951293945312
41,,0.05506182834506035,92.43902587890625
42,,0.05818841978907585,93.41463470458984
43,,0.05945730581879616,91.70731353759766
44,,0.05489218607544899,93.41463470458984
45,,0.08417700231075287,87.31707000732422
46,,0.04798956215381622,92.68292999267578
47,,0.0597030408680439,93.17073059082031
48,,0.0550396628677845,91.46341705322266
49,,0.0438254252076149,95.1219482421875
50,,0.04487098753452301,94.8780517578125
51,,0.05129503086209297,94.8780517578125
52,,0.04993612319231033,94.8780517578125
53,,0.08571090549230576,88.53658294677734
54,,0.036530960351228714,94.8780517578125
55,,0.046343814581632614,92.92682647705078
56,,0.04476873576641083,95.1219482421875
57,,0.04861271753907204,94.63414764404297
58,,0.04466364532709122,95.36585235595703
59,,0.045491255819797516,95.60975646972656
60,,0.04198727011680603,95.36585235595703
61,,0.04986589774489403,94.1463394165039
62,,0.04888949170708656,94.63414764404297
63,,0.04190743342041969,95.36585235595703
64,,0.045991815626621246,95.36585235595703
65,,0.04238099604845047,95.1219482421875
66,,0.046520914882421494,95.60975646972656
67,,0.03933024778962135,95.36585235595703
68,,0.04046725109219551,96.09756469726562
69,,0.045892875641584396,95.36585235595703
70,,0.04683854058384895,95.60975646972656
71,,0.04530002176761627,95.8536605834961
72,,0.04697731137275696,95.8536605834961
73,,0.04562828689813614,95.60975646972656
74,,0.041925251483917236,95.60975646972656
75,,0.04849948734045029,94.63414764404297
76,,0.043061815202236176,95.36585235595703
77,,0.044521644711494446,95.36585235595703
78,,0.04599941894412041,96.09756469726562
79,,0.04423270374536514,96.09756469726562
80,,0.045870590955019,96.09756469726562
81,,0.044273730367422104,95.8536605834961
82,,0.04449381306767464,96.09756469726562
83,,0.0427970215678215,96.34146118164062
84,,0.044469431042671204,96.09756469726562
85,,0.048455193638801575,96.34146118164062
86,,0.043091751635074615,96.34146118164062
87,,0.043662164360284805,96.58536529541016
88,,0.04322796314954758,96.34146118164062
89,,0.045277465134859085,96.34146118164062
90,,0.046574242413043976,96.58536529541016
91,,0.04404506832361221,96.58536529541016
92,,0.04296841472387314,96.58536529541016
93,,0.04437209665775299,96.58536529541016
94,,0.044032976031303406,96.58536529541016
95,,0.04389462620019913,96.58536529541016
96,,0.044061094522476196,96.58536529541016
97,,0.04436860978603363,96.58536529541016
98,,0.0444297268986702,96.58536529541016
99,,0.0443425290286541,96.58536529541016
100,,0.044352028518915176,96.58536529541016
